"","year","state","nmfs_name","pounds","metric_tons","dollars","scientific_name","source"
"1",2023,"ALABAMA","SHARK, BLACKTIP",60780,28,54465,"Carcharhinus limbatus","EXCEPTIONS"
"2",2023,"ALABAMA","SHARK, BULL",21394,10,15783,"Carcharhinus leucas","EXCEPTIONS"
"3",2023,"ALABAMA","SHARK, SHARPNOSE, ATLANTIC",97980,44,77162,"Rhizoprionodon terraenovae","EXCEPTIONS"
"4",2023,"ALASKA","SHARK, DOGFISH, SPINY",16980,8,1148,"Squalus acanthias","AKFIN"
"5",2023,"CALIFORNIA","SHARK, BLUE",409,NA,370,"Prionace glauca","PACFIN"
"6",2023,"CALIFORNIA","SHARK, DOGFISH, SPINY",2620,1,2445,"Squalus acanthias","PACFIN"
"7",2023,"CALIFORNIA","SHARK, LEOPARD",3471,2,2963,"Triakis semifasciata","PACFIN"
"8",2023,"CALIFORNIA","SHARK, MAKO, SHORTFIN",27676,13,29544,"Isurus oxyrinchus","PACFIN"
"9",2023,"CALIFORNIA","SHARK, PACIFIC ANGEL",32791,15,32459,"Squatina californica","PACFIN"
"10",2023,"CALIFORNIA","SHARK, THRESHER",67916,31,54197,"Alopias vulpinus","PACFIN"
"11",2023,"CALIFORNIA","SHARK, THRESHER, BIGEYE",1760,1,2405,"Alopias superciliosus","PACFIN"
"12",2023,"CALIFORNIA","SHARK, TOPE",11826,5,12592,"Galeorhinus galeus","PACFIN"
"13",2023,"CONNECTICUT","SHARK, DOGFISH, SMOOTH",40977,19,24876,"Mustelus canis","EXCEPTIONS"
"14",2023,"CONNECTICUT","SHARK, DOGFISH, SPINY",830,NA,266,"Squalus acanthias","ACCSP"
"15",2023,"DELAWARE","SHARK, DOGFISH, SPINY",306,NA,63,"Squalus acanthias","ACCSP"
"16",2023,"FLORIDA-EAST","SHARK, BLACKNOSE",17534,8,17923,"Carcharhinus acronotus","EXCEPTIONS"
"17",2023,"FLORIDA-EAST","SHARK, BLACKTIP",118125,54,110324,"Carcharhinus limbatus","EXCEPTIONS"
"18",2023,"FLORIDA-EAST","SHARK, BULL",1001,NA,828,"Carcharhinus leucas","EXCEPTIONS"
"19",2023,"FLORIDA-EAST","SHARK, FINETOOTH",28837,13,31251,"Carcharhinus isodon","EXCEPTIONS"
"20",2023,"FLORIDA-EAST","SHARK, SHARPNOSE, ATLANTIC",76339,35,84575,"Rhizoprionodon terraenovae","EXCEPTIONS"
"21",2023,"FLORIDA-EAST","SHARK, SPINNER",15843,7,14179,"Carcharhinus brevipinna","EXCEPTIONS"
"22",2023,"FLORIDA-WEST","SHARK, BLACKTIP",132,NA,180,"Carcharhinus limbatus","EXCEPTIONS"
"23",2023,"FLORIDA-WEST","SHARK, BONNETHEAD",48,NA,21,"Sphyrna tiburo","EXCEPTIONS"
"24",2023,"FLORIDA-WEST","SHARK, BULL",6486,3,4434,"Carcharhinus leucas","EXCEPTIONS"
"25",2023,"FLORIDA-WEST","SHARK, LEMON",796,NA,135,"Negaprion brevirostris","EXCEPTIONS"
"26",2023,"LOUISIANA","SHARK, BLACKTIP",700930,318,417932,"Carcharhinus limbatus","EXCEPTIONS"
"27",2023,"LOUISIANA","SHARK, BULL",189976,86,115785,"Carcharhinus leucas","EXCEPTIONS"
"28",2023,"LOUISIANA","SHARK, LEMON",1990,1,1196,"Negaprion brevirostris","EXCEPTIONS"
"29",2023,"MARYLAND","SHARK, DOGFISH, SMOOTH",32865,15,23066,"Mustelus canis","EXCEPTIONS"
"30",2023,"MARYLAND","SHARK, DOGFISH, SPINY",850527,386,169125,"Squalus acanthias","ACCSP"
"31",2023,"MARYLAND","SHARK, THRESHER",6469,3,4857,"Alopias vulpinus","EXCEPTIONS"
"32",2023,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",2763959,1254,695145,"Squalus acanthias","ACCSP"
"33",2023,"NEW JERSEY","SHARK, DOGFISH, SMOOTH",785510,356,509862,"Mustelus canis","EXCEPTIONS"
"34",2023,"NEW JERSEY","SHARK, DOGFISH, SPINY",1148491,521,222040,"Squalus acanthias","ACCSP"
"35",2023,"NEW JERSEY","SHARK, SPINNER",13820,6,11386,"Carcharhinus brevipinna","EXCEPTIONS"
"36",2023,"NEW JERSEY","SHARK, THRESHER",18276,8,13461,"Alopias vulpinus","EXCEPTIONS"
"37",2023,"NEW YORK","SHARK, DOGFISH, SMOOTH",272580,124,206528,"Mustelus canis","EXCEPTIONS"
"38",2023,"NEW YORK","SHARK, DOGFISH, SPINY",28191,13,23905,"Squalus acanthias","ACCSP"
"39",2023,"NORTH CAROLINA","SHARK, BLACKTIP",66079,30,49399,"Carcharhinus limbatus","EXCEPTIONS"
"40",2023,"NORTH CAROLINA","SHARK, BONNETHEAD",299,NA,131,"Sphyrna tiburo","EXCEPTIONS"
"41",2023,"NORTH CAROLINA","SHARK, BULL",1554,1,395,"Carcharhinus leucas","EXCEPTIONS"
"42",2023,"NORTH CAROLINA","SHARK, DOGFISH, SMOOTH",48494,22,55452,"Mustelus canis","EXCEPTIONS"
"43",2023,"NORTH CAROLINA","SHARK, DOGFISH, SPINY",6147,3,861,"Squalus acanthias","ACCSP"
"44",2023,"NORTH CAROLINA","SHARK, HAMMERHEAD, GREAT",67453,31,35210,"Sphyrna mokarran","EXCEPTIONS"
"45",2023,"NORTH CAROLINA","SHARK, HAMMERHEAD, SCALLOPED",4391,2,1492,"Sphyrna lewini","EXCEPTIONS"
"46",2023,"NORTH CAROLINA","SHARK, LEMON",2054,1,1170,"Negaprion brevirostris","EXCEPTIONS"
"47",2023,"NORTH CAROLINA","SHARK, SHARPNOSE, ATLANTIC",153963,70,114172,"Rhizoprionodon terraenovae","EXCEPTIONS"
"48",2023,"NORTH CAROLINA","SHARK, SPINNER",111630,51,76301,"Carcharhinus brevipinna","EXCEPTIONS"
"49",2023,"NORTH CAROLINA","SHARK, THRESHER",31586,14,20026,"Alopias vulpinus","EXCEPTIONS"
"50",2023,"NORTH CAROLINA","SHARK, TIGER",2840,1,1179,"Galeocerdo cuvier","EXCEPTIONS"
"51",2023,"OREGON","SHARK, BLUE",3951,2,3,"Prionace glauca","PACFIN"
"52",2023,"OREGON","SHARK, BROWN CAT",19856,9,NA,"Arpisturus brunneus","PACFIN"
"53",2023,"OREGON","SHARK, DOGFISH, SPINY",285439,129,111,"Squalus acanthias","PACFIN"
"54",2023,"OREGON","SHARK, TOPE",1440,1,NA,"Galeorhinus galeus","PACFIN"
"55",2023,"PROCESS AT SEA","SHARK, DOGFISH, SPINY",198376,90,NA,"Squalus acanthias","PACFIN"
"56",2023,"RHODE ISLAND","SHARK, DOGFISH, SMOOTH",67023,30,42862,"Mustelus canis","EXCEPTIONS"
"57",2023,"RHODE ISLAND","SHARK, DOGFISH, SPINY",33340,15,14528,"Squalus acanthias","ACCSP"
"58",2023,"SOUTH CAROLINA","SHARK, BLACKNOSE",630,NA,1162,"Carcharhinus acronotus","EXCEPTIONS"
"59",2023,"SOUTH CAROLINA","SHARK, BLACKTIP",23712,11,49909,"Carcharhinus limbatus","EXCEPTIONS"
"60",2023,"SOUTH CAROLINA","SHARK, BULL",4281,2,8670,"Carcharhinus leucas","EXCEPTIONS"
"61",2023,"SOUTH CAROLINA","SHARK, FINETOOTH",300,NA,616,"Carcharhinus isodon","EXCEPTIONS"
"62",2023,"SOUTH CAROLINA","SHARK, SHARPNOSE, ATLANTIC",8104,4,17409,"Rhizoprionodon terraenovae","EXCEPTIONS"
"63",2023,"VIRGINIA","SHARK, BLACKTIP",10471,5,7317,"Carcharhinus limbatus","EXCEPTIONS"
"64",2023,"VIRGINIA","SHARK, DOGFISH, SMOOTH",79212,36,41974,"Mustelus canis","EXCEPTIONS"
"65",2023,"VIRGINIA","SHARK, DOGFISH, SPINY",6018055,2730,1230835,"Squalus acanthias","ACCSP"
"66",2022,"ALASKA","SHARK, DOGFISH, SPINY",16439,7,1231,"Squalus acanthias","AKFIN"
"67",2022,"CALIFORNIA","SHARK, BLUE",374,NA,353,"Prionace glauca","PACFIN"
"68",2022,"CALIFORNIA","SHARK, DOGFISH, SPINY",3287,1,2488,"Squalus acanthias","PACFIN"
"69",2022,"CALIFORNIA","SHARK, LEOPARD",6753,3,6365,"Triakis semifasciata","PACFIN"
"70",2022,"CALIFORNIA","SHARK, MAKO, SHORTFIN",12845,6,13700,"Isurus oxyrinchus","PACFIN"
"71",2022,"CALIFORNIA","SHARK, PACIFIC ANGEL",44100,20,33711,"Squatina californica","PACFIN"
"72",2022,"CALIFORNIA","SHARK, THRESHER",97627,44,71128,"Alopias vulpinus","PACFIN"
"73",2022,"CALIFORNIA","SHARK, TOPE",25268,11,18457,"Galeorhinus galeus","PACFIN"
"74",2022,"CONNECTICUT","SHARK, DOGFISH, SMOOTH",38044,17,35822,"Mustelus canis","EXCEPTIONS"
"75",2022,"CONNECTICUT","SHARK, DOGFISH, SPINY",1050,NA,185,"Squalus acanthias","ACCSP"
"76",2022,"FLORIDA-EAST","SHARK, BLACKNOSE",12160,6,11625,"Carcharhinus acronotus","EXCEPTIONS"
"77",2022,"FLORIDA-EAST","SHARK, BLACKTIP",76211,35,68493,"Carcharhinus limbatus","EXCEPTIONS"
"78",2022,"FLORIDA-EAST","SHARK, BULL",3561,2,1882,"Carcharhinus leucas","EXCEPTIONS"
"79",2022,"FLORIDA-EAST","SHARK, LEMON",1992,1,1173,"Negaprion brevirostris","EXCEPTIONS"
"80",2022,"FLORIDA-EAST","SHARK, MAKO, SHORTFIN",2730,1,4727,"Isurus oxyrinchus","EXCEPTIONS"
"81",2022,"FLORIDA-EAST","SHARK, SANDBAR",24210,11,17085,"Carcharhinus plumbeus","EXCEPTIONS"
"82",2022,"FLORIDA-EAST","SHARK, SHARPNOSE, ATLANTIC",58328,26,55433,"Rhizoprionodon terraenovae","EXCEPTIONS"
"83",2022,"FLORIDA-EAST","SHARK, SPINNER",5766,3,4316,"Carcharhinus brevipinna","EXCEPTIONS"
"84",2022,"FLORIDA-EAST","SHARK, TIGER",946,NA,549,"Galeocerdo cuvier","EXCEPTIONS"
"85",2022,"FLORIDA-WEST","SHARK, BULL",26315,12,23112,"Carcharhinus leucas","EXCEPTIONS"
"86",2022,"FLORIDA-WEST","SHARK, HAMMERHEAD, GREAT",11416,5,1143,"Sphyrna mokarran","EXCEPTIONS"
"87",2022,"FLORIDA-WEST","SHARK, LEMON",22112,10,17719,"Negaprion brevirostris","EXCEPTIONS"
"88",2022,"FLORIDA-WEST","SHARK, NURSE",2516,1,2057,"Ginglymostoma cirratum","EXCEPTIONS"
"89",2022,"FLORIDA-WEST","SHARK, TIGER",22530,10,19303,"Galeocerdo cuvier","EXCEPTIONS"
"90",2022,"LOUISIANA","SHARK, BULL",183201,83,102820,"Carcharhinus leucas","EXCEPTIONS"
"91",2022,"MARYLAND","SHARK, DOGFISH, SMOOTH",15823,7,20949,"Mustelus canis","EXCEPTIONS"
"92",2022,"MARYLAND","SHARK, MAKO, SHORTFIN",5653,3,10854,"Isurus oxyrinchus","EXCEPTIONS"
"93",2022,"MARYLAND","SHARK, THRESHER",12019,5,11500,"Alopias vulpinus","EXCEPTIONS"
"94",2022,"MASSACHUSETTS","SHARK, DOGFISH, SMOOTH",2338,1,1063,"Mustelus canis","EXCEPTIONS"
"95",2022,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",3834524,1739,987078,"Squalus acanthias","ACCSP"
"96",2022,"NEW JERSEY","SHARK, DOGFISH, SMOOTH",436346,198,258245,"Mustelus canis","EXCEPTIONS"
"97",2022,"NEW JERSEY","SHARK, DOGFISH, SPINY",1509404,685,313958,"Squalus acanthias","ACCSP"
"98",2022,"NEW JERSEY","SHARK, SHARPNOSE, ATLANTIC",1219,1,1005,"Rhizoprionodon terraenovae","EXCEPTIONS"
"99",2022,"NEW JERSEY","SHARK, SPINNER",13761,6,8485,"Carcharhinus brevipinna","EXCEPTIONS"
"100",2022,"NEW JERSEY","SHARK, THRESHER",19449,9,13219,"Alopias vulpinus","EXCEPTIONS"
"101",2022,"NEW YORK","SHARK, DOGFISH, SMOOTH",258687,117,217587,"Mustelus canis","EXCEPTIONS"
"102",2022,"NEW YORK","SHARK, DOGFISH, SPINY",28740,13,27497,"Squalus acanthias","ACCSP"
"103",2022,"NEW YORK","SHARK, THRESHER",1279,1,797,"Alopias vulpinus","EXCEPTIONS"
"104",2022,"NORTH CAROLINA","SHARK, BLACKTIP",35360,16,22106,"Carcharhinus limbatus","EXCEPTIONS"
"105",2022,"NORTH CAROLINA","SHARK, BONNETHEAD",442,NA,298,"Sphyrna tiburo","EXCEPTIONS"
"106",2022,"NORTH CAROLINA","SHARK, BULL",2445,1,977,"Carcharhinus leucas","EXCEPTIONS"
"107",2022,"NORTH CAROLINA","SHARK, DOGFISH, SMOOTH",21645,10,17678,"Mustelus canis","EXCEPTIONS"
