"","year","state","nmfs_name","total_pounds","total_dollars","region"
"1",1950,"OREGON","SHARK, TOPE",164800,54400,"Pacific Coast"
"2",1950,"WASHINGTON","SHARK, TOPE",125600,37680,"Pacific Coast"
"3",1951,"OREGON","SHARK, TOPE",7500,2041,"Pacific Coast"
"4",1951,"WASHINGTON","SHARK, TOPE",109400,21648,"Pacific Coast"
"5",1952,"OREGON","SHARK, TOPE",3300,594,"Pacific Coast"
"6",1952,"WASHINGTON","SHARK, TOPE",700,57,"Pacific Coast"
"7",1953,"OREGON","SHARK, TOPE",1300,152,"Pacific Coast"
"8",1953,"WASHINGTON","SHARK, TOPE",15900,2478,"Pacific Coast"
"9",1954,"OREGON","SHARK, TOPE",800,93,"Pacific Coast"
"10",1954,"WASHINGTON","SHARK, TOPE",36800,5958,"Pacific Coast"
"11",1955,"WASHINGTON","SHARK, TOPE",10300,571,"Pacific Coast"
"12",1956,"WASHINGTON","SHARK, TOPE",500,28,"Pacific Coast"
"13",1957,"WASHINGTON","SHARK, TOPE",1300,108,"Pacific Coast"
"14",1958,"WASHINGTON","SHARK, TOPE",7100,147,"Pacific Coast"
"15",1959,"WASHINGTON","SHARK, TOPE",1900,115,"Pacific Coast"
"16",1960,"OREGON","SHARK, TOPE",2900,121,"Pacific Coast"
"17",1960,"WASHINGTON","SHARK, TOPE",1900,110,"Pacific Coast"
"18",1961,"OREGON","SHARK, TOPE",200,2,"Pacific Coast"
"19",1961,"WASHINGTON","SHARK, TOPE",1300,88,"Pacific Coast"
"20",1962,"WASHINGTON","SHARK, TOPE",400,21,"Pacific Coast"
"21",1963,"OREGON","SHARK, TOPE",2000,23,"Pacific Coast"
"22",1963,"WASHINGTON","SHARK, TOPE",1900,62,"Pacific Coast"
"23",1964,"OREGON","SHARK, TOPE",1000,24,"Pacific Coast"
"24",1964,"WASHINGTON","SHARK, TOPE",1200,44,"Pacific Coast"
"25",1965,"OREGON","SHARK, TOPE",1000,10,"Pacific Coast"
"26",1971,"WASHINGTON","SHARK, TOPE",300,13,"Pacific Coast"
"27",1972,"OREGON","SHARK, TOPE",3800,103,"Pacific Coast"
"28",1973,"OREGON","SHARK, TOPE",300,15,"Pacific Coast"
"29",1974,"OREGON","SHARK, TOPE",1000,104,"Pacific Coast"
"30",1975,"OREGON","SHARK, TOPE",900,188,"Pacific Coast"
"31",1976,"OREGON","SHARK, TOPE",3000,747,"Pacific Coast"
"32",1977,"CALIFORNIA","SHARK, DOGFISH, SPINY",600,120,"Pacific Coast"
"33",1977,"OREGON","SHARK, TOPE",1600,497,"Pacific Coast"
"34",1977,"WASHINGTON","SHARK, TOPE",200,10,"Pacific Coast"
"35",1978,"CALIFORNIA","SHARK, BLUE",36000,6972,"Pacific Coast"
"36",1978,"CALIFORNIA","SHARK, LEOPARD",34900,6462,"Pacific Coast"
"37",1978,"CALIFORNIA","SHARK, MAKO, SHORTFIN",27400,7730,"Pacific Coast"
"38",1978,"CALIFORNIA","SHARK, THRESHER",302200,120110,"Pacific Coast"
"39",1978,"CALIFORNIA","SHARK, TOPE",175900,55089,"Pacific Coast"
"40",1978,"OREGON","SHARK, TOPE",856,329,"Pacific Coast"
"41",1978,"WASHINGTON","SHARK, DOGFISH, SPINY",6076692,495786,"Pacific Coast"
"42",1978,"WASHINGTON","SHARK, TOPE",23,9,"Pacific Coast"
"43",1979,"CALIFORNIA","SHARK, BLUE",86703,22583,"Pacific Coast"
"44",1979,"CALIFORNIA","SHARK, DOGFISH, SPINY",125488,9045,"Pacific Coast"
"45",1979,"CALIFORNIA","SHARK, LEOPARD",38904,14686,"Pacific Coast"
"46",1979,"CALIFORNIA","SHARK, MAKO, SHORTFIN",35333,19542,"Pacific Coast"
"47",1979,"CALIFORNIA","SHARK, PACIFIC ANGEL",128267,30921,"Pacific Coast"
"48",1979,"CALIFORNIA","SHARK, THRESHER",735710,427445,"Pacific Coast"
"49",1979,"CALIFORNIA","SHARK, TOPE",276118,122821,"Pacific Coast"
"50",1979,"CALIFORNIA","SHARK, WHITE",2269,582,"Pacific Coast"
"51",1979,"OREGON","SHARK, TOPE",3049,942,"Pacific Coast"
"52",1979,"WASHINGTON","SHARK, DOGFISH, SPINY",9435250,925187,"Pacific Coast"
"53",1979,"WASHINGTON","SHARK, TOPE",2668,357,"Pacific Coast"
"54",1980,"CALIFORNIA","SHARK, BLUE",192129,50797,"Pacific Coast"
"55",1980,"CALIFORNIA","SHARK, DOGFISH, SPINY",15279,4542,"Pacific Coast"
"56",1980,"CALIFORNIA","SHARK, LEOPARD",39954,15396,"Pacific Coast"
"57",1980,"CALIFORNIA","SHARK, MAKO, SHORTFIN",155318,99489,"Pacific Coast"
"58",1980,"CALIFORNIA","SHARK, PACIFIC ANGEL",109928,29343,"Pacific Coast"
"59",1980,"CALIFORNIA","SHARK, THRESHER",1805956,1235576,"Pacific Coast"
"60",1980,"CALIFORNIA","SHARK, THRESHER, BIGEYE",10803,2065,"Pacific Coast"
"61",1980,"CALIFORNIA","SHARK, TOPE",192083,80910,"Pacific Coast"
"62",1980,"CALIFORNIA","SHARK, WHITE",1660,839,"Pacific Coast"
"63",1980,"OREGON","SHARK, TOPE",1791,737,"Pacific Coast"
"64",1980,"WASHINGTON","SHARK, BLUE",248,62,"Pacific Coast"
"65",1980,"WASHINGTON","SHARK, DOGFISH, SPINY",7045647,663773,"Pacific Coast"
"66",1980,"WASHINGTON","SHARK, TOPE",156,36,"Pacific Coast"
"67",1981,"ALASKA","SHARK, DOGFISH, SPINY",4,0,"Alaska"
"68",1981,"CALIFORNIA","SHARK, BLUE",203071,58970,"Pacific Coast"
"69",1981,"CALIFORNIA","SHARK, DOGFISH, SPINY",17808,4828,"Pacific Coast"
"70",1981,"CALIFORNIA","SHARK, LEOPARD",54362,22404,"Pacific Coast"
"71",1981,"CALIFORNIA","SHARK, MAKO, SHORTFIN",402151,162347,"Pacific Coast"
"72",1981,"CALIFORNIA","SHARK, PACIFIC ANGEL",537280,89587,"Pacific Coast"
"73",1981,"CALIFORNIA","SHARK, THRESHER",3354140,1475637,"Pacific Coast"
"74",1981,"CALIFORNIA","SHARK, TOPE",277617,146387,"Pacific Coast"
"75",1981,"MARYLAND","SHARK, DOGFISH, SMOOTH",100,18,"Middle Atlantic"
"76",1981,"MARYLAND","SHARK, DOGFISH, SPINY",1529500,107388,"Middle Atlantic"
"77",1981,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",166600,11931,"New England"
"78",1981,"OREGON","SHARK, DOGFISH, SPINY",10587,738,"Pacific Coast"
"79",1981,"OREGON","SHARK, TOPE",3585,1215,"Pacific Coast"
"80",1981,"VIRGINIA","SHARK, DOGFISH, SMOOTH",500,135,"Middle Atlantic"
"81",1981,"VIRGINIA","SHARK, DOGFISH, SPINY",702700,60835,"Middle Atlantic"
"82",1981,"WASHINGTON","SHARK, BLUE",319,96,"Pacific Coast"
"83",1981,"WASHINGTON","SHARK, DOGFISH, SPINY",4539373,402315,"Pacific Coast"
"84",1981,"WASHINGTON","SHARK, TOPE",338,109,"Pacific Coast"
"85",1982,"ALASKA","SHARK, DOGFISH, SPINY",400,32,"Alaska"
"86",1982,"CALIFORNIA","SHARK, BLUE",58732,18764,"Pacific Coast"
"87",1982,"CALIFORNIA","SHARK, DOGFISH, SPINY",5745,1041,"Pacific Coast"
