"","year","total_pounds","total_dollars"
"1",1950,290400,92080
"2",1951,116900,23689
"3",1952,4000,651
"4",1953,17200,2630
"5",1954,37600,6051
"6",1955,10300,571
"7",1956,500,28
"8",1957,1300,108
"9",1958,7100,147
"10",1959,1900,115
"11",1960,4800,231
"12",1961,1500,90
"13",1962,400,21
"14",1963,3900,85
"15",1964,2200,68
"16",1965,1000,10
"17",1971,300,13
"18",1972,3800,103
"19",1973,300,15
"20",1974,1000,104
"21",1975,900,188
"22",1976,3000,747
"23",1977,2400,627
"24",1978,6653971,692487
"25",1979,10869759,1574111
"26",1980,9570952,2183565
"27",1981,11800035,2544940
"28",1982,15851242,3554174
"29",1983,9435065,2501728
"30",1984,10649828,2880223
"31",1985,10290857,3351413
"32",1986,10619338,3365061
"33",1987,13865153,3679870
"34",1988,10325107,3112628
"35",1989,11656727,2999288
"36",1990,20763824,4252102
"37",1991,20572872,4622022
"38",1992,15621575,3269093
"39",1993,17597395,3715992
"40",1994,48145076,8205798
"41",1995,53871216,11491376
"42",1996,58586614,12053610
"43",1997,45878041,8478251
"44",1998,52188354,10038790
"45",1999,41945481,8536095
"46",2000,29444816,7524094
"47",2001,13079891,4057864
"48",2002,13986026,3921077
"49",2003,10462798,2920370
"50",2004,10078891,3569300
"51",2005,9750362,3362314
"52",2006,13028352,4304673
"53",2007,14021457,4810555
"54",2008,15117530,4623866
"55",2009,18103048,5430193
"56",2010,19253972,5475655
"57",2011,28830353,7776800
"58",2012,29373823,8114740
"59",2013,20715124,5034003
"60",2014,26816240,6607944
"61",2015,22926798,4966808
"62",2016,29579385,6924716
"63",2017,23122854,5589334
"64",2018,19453395,4501594
"65",2019,21338509,4936587
"66",2020,20200524,5036952
"67",2021,12135966,3624709
"68",2022,12314307,3760073
"69",2023,14717121,4760060
