"","year","state","total_pounds_SHARK, TOPE","total_pounds_SHARK, DOGFISH, SPINY","total_pounds_SHARK, BLUE","total_pounds_SHARK, LEOPARD","total_pounds_SHARK, MAKO, SHORTFIN","total_pounds_SHARK, THRESHER","total_pounds_SHARK, PACIFIC ANGEL","total_pounds_SHARK, WHITE","total_pounds_SHARK, THRESHER, BIGEYE","total_pounds_SHARK, DOGFISH, SMOOTH","total_pounds_SHARK, BLACKTIP","total_pounds_SHARK, MAKO, LONGFIN","total_pounds_SHARK, PORBEAGLE","total_pounds_SHARK, DUSKY","total_pounds_SHARK, SANDBAR","total_pounds_SHARK, SAND TIGER","total_pounds_SHARK, TIGER","total_pounds_SHARK, LEMON","total_pounds_SHARK, BULL","total_pounds_SHARK, NURSE","total_pounds_SHARK, SHARPNOSE, ATLANTIC","total_pounds_SHARK, WHITETIP, OCEANIC","total_pounds_SHARK, BIGNOSE","total_pounds_SHARK, SPINNER","total_pounds_SHARK, BLACKNOSE","total_pounds_SHARK, SILKY","total_pounds_SHARK, ANGEL, ATLANTIC","total_pounds_SHARK, BONNETHEAD","total_pounds_SHARK, NIGHT","total_pounds_SHARK, FINETOOTH","total_pounds_SHARK, HAMMERHEAD, SMOOTH","total_pounds_SHARK, BROWN CAT","total_pounds_SHARK, HAMMERHEAD, SCALLOPED","total_pounds_SHARK, HAMMERHEAD, GREAT","total_dollars_SHARK, TOPE","total_dollars_SHARK, DOGFISH, SPINY","total_dollars_SHARK, BLUE","total_dollars_SHARK, LEOPARD","total_dollars_SHARK, MAKO, SHORTFIN","total_dollars_SHARK, THRESHER","total_dollars_SHARK, PACIFIC ANGEL","total_dollars_SHARK, WHITE","total_dollars_SHARK, THRESHER, BIGEYE","total_dollars_SHARK, DOGFISH, SMOOTH","total_dollars_SHARK, BLACKTIP","total_dollars_SHARK, MAKO, LONGFIN","total_dollars_SHARK, PORBEAGLE","total_dollars_SHARK, DUSKY","total_dollars_SHARK, SANDBAR","total_dollars_SHARK, SAND TIGER","total_dollars_SHARK, TIGER","total_dollars_SHARK, LEMON","total_dollars_SHARK, BULL","total_dollars_SHARK, NURSE","total_dollars_SHARK, SHARPNOSE, ATLANTIC","total_dollars_SHARK, WHITETIP, OCEANIC","total_dollars_SHARK, BIGNOSE","total_dollars_SHARK, SPINNER","total_dollars_SHARK, BLACKNOSE","total_dollars_SHARK, SILKY","total_dollars_SHARK, ANGEL, ATLANTIC","total_dollars_SHARK, BONNETHEAD","total_dollars_SHARK, NIGHT","total_dollars_SHARK, FINETOOTH","total_dollars_SHARK, HAMMERHEAD, SMOOTH","total_dollars_SHARK, BROWN CAT","total_dollars_SHARK, HAMMERHEAD, SCALLOPED","total_dollars_SHARK, HAMMERHEAD, GREAT"
"1",1950,"OREGON",164800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1950,"WASHINGTON",125600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1951,"OREGON",7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1951,"WASHINGTON",109400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1952,"OREGON",3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1952,"WASHINGTON",700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1953,"OREGON",1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1953,"WASHINGTON",15900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1954,"OREGON",800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1954,"WASHINGTON",36800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
